Jurisdiction,AbbreviatedDistrict,Full District Name,Type of Zoning District ,Is it an Overlay District?,1-Family,2-Family,3-Family,4+-Family,1-Family Min. Lot (ACRES),2-Family Min. Lot (ACRES),3-Family Min. Lot (ACRES),4+-Family Min. Lot (ACRES)
New Britain,TOD-ES-1,Transit-Oriented Development East Street Primary,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.34,0.34,0.34,0.34
New Britain,TOD-ES-2,Transit-Oriented Development East Street Secondary,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.34,0.34,0.34,0.34
New Britain,TP,Technology Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Britain,TPC,Technology Park/Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Britain,UI,Urban Industrial ,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Canaan,1 Acre Residence,1 Acre Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,1,,,
New Canaan,1/2 Acre Residence,1/2 Acre Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,0.5,,,
New Canaan,1/3 Acre Residence,1/3 Acre Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,0.33,,,
New Canaan,2 Acre Residence,2 Acre Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,2,,,
New Canaan,4 Acre Residence,4 Acre Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,4,,,
New Canaan,A Residence,A Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,0.23,,,
New Canaan,Apartment,Apartment,Primarily Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,0.34,,0.68,0.68
New Canaan,B Residence,B Residence,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.17,.275 (attached); .344 (detached),,
New Canaan,Business & Retail: BA,Business & Retail: BA,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Canaan,Business & Retail: BC,Business & Retail: BC,Mixed with Residential,No,Allowed/Conditional,Prohibited,Special Permit,Special Permit,0.11,,,
New Canaan,Business & Retail: BD,Business & Retail: BD,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,,,,
New Canaan,Business & Retail: RA,Business & Retail: RA,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.11,,,
New Canaan,Business B,Business B,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,,,,
New Canaan,Multifamily,Multifamily,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.68,0.68,,
New Canaan,Open Space,Open Space,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,,
New Canaan,Retail B,Retail B,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.11,,,
New Canaan,Waveny ,Waveny ,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,,,,
New Fairfield,AP,Aquifer Protection,Primarily Residential,Yes,Special Permit,Special Permit,Special Permit,Special Permit,,,,
New Fairfield,B/C,Business Commercial,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
New Fairfield,LI,Light Industrial,Mixed with Residential,Yes,Prohibited,Prohibited,Special Permit,Special Permit,3,,3,3
New Fairfield,MFDE,Multifamily Elderly,Primarily Residential,Yes,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,5,,,
New Fairfield,NB,Neighborhood Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
New Fairfield,OS,Open Space,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,10,,,
New Fairfield,R-44,R-44 One Family Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
New Fairfield,R-88,R-88 One Family Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2,,,
New Hartford,Aquifer Protection Overlay,Aquifer Protection Overlay,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,B,Business,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,C,Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,Farmington River Protection Overlay ,Farmington River Protection Overlay ,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,Floodplain Overlay,Floodplain Overlay,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,IP,Industrial Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,NHCZ,New Hartford Center,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.229568411386593,0.229568411386593,0.229568411386593,0.229568411386593
New Hartford,PS/UD,Public Service/Utility,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,Public Water Supply Watershed Overlay,Public Water Supply Watershed Overlay,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Hartford,R-1.5,R-1.5 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.5,,,
New Hartford,R-15,R-15 Residence,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.344352617079889,0.114784205693296,0.114784205693296,0.114784205693296
New Hartford,R-2,R-2 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2,,,
New Hartford,R-30,R-30 Residence,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.688705234159779,0.229568411386593,,
New Hartford,R-4,R-4 Residence,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,4,,,
New Haven,AIRPORT,Airport,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,BA,General Business,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Haven,BA-1,Neighborhood Center Mixed Use,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Haven,BB,Automobile Sales,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,BC,Marine,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,,,,
New Haven,BD,Central Business,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Haven,BD-1,Cenral Business/Residential,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Haven,BD-2,Central Business/Medical,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Haven,BD-3,Central Business/Mixed-Use,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Haven,BE,Wholesale & Distribution,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,CEM,Cemetery,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,COASTAL MANAGEMENT,Coastal Management,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,FLOOD DAMAGE PREVENTION,Floor Damage Protection ,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
New Haven,HISTORIC,Historic,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
New Haven,IH,Heavy Industry,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,IL,Light Industry,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,IM,Light Industry-Marine,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,PARK,Park,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Haven,PDD/PDU,Planned Development,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
New Haven,RH-1,Special High Density,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,0.17,0.17,0.17
New Haven,RH-2,General High Density,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.12,0.12,0.12,0.12
New Haven,RM-1,Low Middle Density,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.09,0.14,0.14,0.14
New Haven,Rm-2,High Middle Density,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.09,0.12,0.12,0.12
New Haven,RO,Residence-Office,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,0.17,0.17,0.17
New Haven,RS-1,Special Single Family,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.09,,,
New Haven,RS-2,General Single Family,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.09,,,
New London,C-1,General Commercial,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
New London,C-2,Limited Commercial,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
New London,CBD-1,Central Business 1,Mixed with Residential,No,Prohibited,Special Permit,Special Permit,Special Permit,0.114784205693296,,,
New London,CBD-2,Central Business 2,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.114784205693296,,,
New London,HDO,Historic Overlay,Mixed with Residential,Yes,Prohibited,Special Permit,Special Permit,Special Permit,,,0.114784205693296,0.114784205693296
New London,IHZ,Incentive Housing Overlay,Mixed with Residential,Yes,Prohibited,Special Permit,Allowed/Conditional,Allowed/Conditional,,,0.114784205693296,0.114784205693296
New London,INST,Institutional,Mixed with Residential,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.918273645546372,0.918273645546372,,
New London,LI-O,Light Industrial Office ,Mixed with Residential,No,Special Permit,Special Permit,Allowed/Conditional,Allowed/Conditional,0.459136822773186,0.459136822773186,,
New London,MD,Maritime,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,0.229568411386593,0.229568411386593
New London,NB,Neighborhood Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.114784205693296,,,
New London,OS,Open Space,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New London,R-1,Single Family Low Density Residential R-1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.172176308539944,,,
New London,R-1A,Single Family Low Density Residential R-1A,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.114784205693296,,,
New London,R-2,Two Family Medium Density Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.114784205693296,0.114784205693296,,
New London,R-3,Multifamily Medium Density Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.114784205693296,0.114784205693296,0.114784205693296,0.114784205693296
New London,R-4,Multifamily-Office-High Density,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.114784205693296,0.114784205693296,0.114784205693296,0.114784205693296
New London,WCI-1,Waterfront Commercial /Industrial 1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New London,WCI-2,Waterfront Commercial /Industrial 2,Mixed with Residential,No,Prohibited,Special Permit,Special Permit,Special Permit,,,,
New London,WD,Waterfront Development,Mixed with Residential,No,Prohibited,Prohibited,Special Permit,Special Permit,,,0.459136822773186,0.459136822773186
New Milford,AAC,Active Adult Community,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,5,,,
New Milford,APZ,Airport,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Milford,B-1,Restricted Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.918273645546372,,,
New Milford,B-2,General Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.918273645546372,,,
New Milford,B-3,Lake Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.37741046831955,,,
New Milford,B-4,Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.918273645546372,,,
New Milford,CCSD1,Cluster Conservation Subdivision 1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.5,,,
New Milford,CCSD2,Cluster Conservation Subdivision 2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.918273645546372,,,
New Milford,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Milford,IC,Industrial/Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Milford,MPRDD,Major Planned Residential Development 1,Primarily Residential,No,Allowed/Conditional,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
New Milford,MR,Multiple-Residence,Primarily Residential,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
New Milford,MV,Motor Vehicle Junkyard,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Milford,R-160,Residential R-160,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,3.67309458218549,,,
New Milford,R-20,Residential R-20,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.459136822773186,,,
New Milford,R-40,Residential R-40,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.918273645546372,,,
New Milford,R-5,Residential R-5,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.114784205693296,,,
New Milford,R-60,Residential R-60,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.37741046831955,,,
New Milford,R-8,Residential R-8,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.183654729109274,,,
New Milford,R-8-2,Residential 2 Family,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.183654729109274,0.183654729109274,,
New Milford,R-80,Residential R-80,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.83654729109274,,,
New Milford,R-MH,Mobile Home,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,3.67309458218549,,,
New Milford,RI,Restricted Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
New Milford,VCD,Village Center,Mixed with Residential,No,Allowed/Conditional,Prohibited,Allowed/Conditional,Allowed/Conditional,,,,
Newington,B,Business,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newington,B-BT,Business Berlin Turnpike,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newington,B-TC,Business Town Center,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,.23 + .06 per dwelling unit over 4
Newington,CD,Commercial Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newington,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newington,PD,Planned Development,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,5
Newington,PL,Public Land,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newington,R-12,Residential R-12,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.27548209,0.1033058,,
Newington,R-20,Residential R-20,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.45913682,,,
Newington,R-7,Residential R-7,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.27548209,0.137741,,
Newington,R-D,Residential Designed,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.27548209,0.1033058,,
Newington,TOD,Transit-Oriented Development Overlay,Mixed with Residential,Yes,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Newington,WADD,Willard Avenue Development,Mixed with Residential,Yes,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Newtown,APD,Aquifer Protection,Mixed with Residential,Yes,Allowed/Conditional,Prohibited,Prohibited,Prohibited,2,,,
Newtown,B-1,Retail Business,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.5,0.5,0.5,
Newtown,B-2,General Business,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.5,0.5,0.5,
Newtown,BPO,Business & Professional Office,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1,1,1,
Newtown,CA,Conservation & Agriculture,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,EH-10,Multiple Family for Elderly Housing,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,
Newtown,FHAR,Fairfield Hills Adaptive Reuse,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,HCDD,Hawleyville Center Design,Mixed with Residential,Yes,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,,,,
Newtown,M-1,Industrial M-1,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Newtown,M-2A,Planned Commercial Development,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,M-3,Industrial M-3,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,M-4,Industrial M-4,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Newtown,M-5,Industrial M-5,Mixed with Residential,No,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Newtown,MIHD,Mixed Income Housing Development,Primarily Residential,Yes,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,,5.75
Newtown,PS,Public School,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,R-1,Farming & Residential-R-1,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Newtown,R-1/2,Farming & Residential-R-1/2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.5,,,
Newtown,R-2,Farming & Residential-R-2,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Newtown,R-3,Farming & Residential-R-3,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Newtown,SDD-1,Special Development 1,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,SDD-2,Special Development 2,Mixed with Residential,Yes,Prohibited,Prohibited,Prohibited,Special Permit,,,,
Newtown,SDD-3,Special Development 3,No Residential,Yes,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown,SHDD,Sandy Hook Design,Mixed with Residential,Yes,Allowed/Conditional,Special Permit,Special Permit,Special Permit,,,,
Newtown,SMVDD,South Main Village Design,Primarily Residential,Yes,Allowed/Conditional,Special Permit,Special Permit,Special Permit,,,,
Newtown - Borough ,B,Business,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Newtown - Borough ,FR,Farming & Residential ,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,
Newtown - Borough ,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
Newtown - Borough ,P,Professional,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1,,,
Norfolk,Cluster Development,Cluster Development,Primarily Residential,Yes,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.167,,,
Norfolk,Commercial/Industrial,Commercial/Industrial,Mixed with Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,2,2,,
Norfolk,Design,Design,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Norfolk,Flood Hazard Overlay,Flood Hazard Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Norfolk,Haystack Woods Overlay,Haystack Woods Overlay,Mixed with Residential,Yes,Overlay,Overlay,Overlay,Overlay,,,,
Norfolk,Neighborhood Residential,Neighborhood Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,1,1,,
Norfolk,Retail/Business,Retail/Business,Mixed with Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,1,1,,
Norfolk,Rural Residential,Rural Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,2,2,,
Norfolk,Village Business,Village Business,Mixed with Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,0.11,0.11,,
Norfolk,Village Residential,Village Residential,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.5,0.5,,
North Branford,B-1,General Business B-1,Mixed with Residential,No,Prohibited,Special Permit,Special Permit,Special Permit,0.91,,,
North Branford,B-2,Central Business B-2,Mixed with Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,1.81,,,
North Branford,B-3,Local Business B-3,Mixed with Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,2.73,,,
North Branford,I-1,Industrial Quarry I-1,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Branford,I-2,Industrial I-2,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Branford,I-3,Industrial I-3,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Branford,R-40,Residence R-40,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.91,,,
North Branford,R-80,Residence R-80,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1.81,,,
North Branford,R-GA,Residence Garden Apartment R-GA,Primarily Residential,No,Allowed/Conditional,Special Permit,Prohibited,Prohibited,4.54,4.54,,
North Branford,WS,Water Supply,Primarily Residential,Yes,Allowed/Conditional,Prohibited,Prohibited,Prohibited,10,,,
North Canaan,Central Business,Central Business ,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.5 (if served by water & sewer); 1.38 (if not),0.5 + 0.11 (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not)
North Canaan,Commercial,Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.5 (if served by water & sewer); 1.38 (if not),0.5 + 0.11 (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not)
North Canaan,HRI,Housatonic River Inner ,Primarily Residential,Yes,Special Permit,Special Permit,Prohibited,Prohibited,,,,
North Canaan,HRO,Housatonic River Outer ,Primarily Residential,Yes,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,,,,
North Canaan,Industrial,Industrial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.5 (if served by water & sewer); 1.38 (if not),0.5 + 0.11 (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not)
North Canaan,Residential,Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.5 (if served by water & sewer); 1.38 (if not),0.5 + 0.11 (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not)
North Canaan,Residential Agricultural,Residential-Agricultural,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.5 (if served by water & sewer); 1.38 (if not),0.5 + 0.11 (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not),0.5 + 0.11 per du (if served by water & sewer); 0.92 (if not)
North Haven,CA-20,Central Commercial CA-20,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,CB-20,Commercial CB-20,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,CB-40,Commercial CB-40,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,CN-20,Neighborhood Commercial CN-20,Mixed with Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,0.46,,
North Haven,EH,Elderly Housing,Primarily Residential,No,Special Permit,Special Permit,Special Permit,Special Permit,,,,
North Haven,IG-80,General Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,IL-30,Light Industrial IL-30,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,IL-80,Light Industrial IL-80,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,LC,Limited Commercial,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.28,0.28,,
North Haven,LO,Limited Office,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Haven,O-12,Office,Mixed with Residential,No,Allowed/Conditional,Allowed/Conditional,Special Permit,Special Permit,0.28,0.28,,
North Haven,R-12,Residence R-12,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.28,2,,
North Haven,R-20,Residence R-20,Primarily Residential,No,Allowed/Conditional,Special Permit,Special Permit,Special Permit,0.46,2,,
North Haven,R-40,Residence R-40,Primarily Residential,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.92,,,
North Haven,RA-12,Residence-Apartment RA-12,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,0.28,0.28,3.67,3.67
North Haven,RA-20,Residence-Apartment RA-20,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,0.46,0.46,3.67,3.67
North Haven,RA-40,Residence-Apartment RA-40,Mixed with Residential,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,0.92,0.92,3.67,3.67
North Stonington,C,Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Stonington,EDD,Economic Development Disrict,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Stonington,HC,Highway Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Stonington,I,Industrial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Stonington,R-40,High-Density Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.92,0.92,,
North Stonington,R-60,Medium-Density Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.38,1.38,,
North Stonington,R-80,Low-Density Residential,Primarily Residential,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.84,1.84,1.84,1.84
North Stonington,RC,Resort Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
North Stonington,VC,Village Commercial,No Residential,No,Prohibited,Prohibited,Prohibited,Prohibited,,,,
